  A   Z Nuc Mass (MeV)
150  57     139639.088
150  58     139629.870
150  59     139625.916
150  60     139620.036
150  61     139619.619
150  62     139615.665
150  63     139617.424
150  64     139615.953
150  65     139620.112
150  66     139621.409
150  67     139628.275
150  68     139631.891
151  57     140573.402
151  58     140564.986
151  59     140558.931
151  60     140554.267
151  61     140551.324
151  62     140549.634
151  63     140549.058
151  64     140549.022
151  65     140551.088
151  66     140553.461
151  67     140558.092
151  68     140562.950
151  69     140569.946
151  70     140578.679
152  59     141493.447
152  60     141486.555
152  61     141484.950
152  62     141480.942
152  63     141482.316
152  64     141479.998
152  65     141483.489
152  66     141483.589
152  67     141489.604
152  68     141492.210
152  69     141500.492
152  70     141505.445
153  59     142427.130
153  60     142420.868
153  61     142417.050
153  62     142414.639
153  63     142413.331
153  64     142413.317
153  65     142414.387
153  66     142416.058
153  67     142419.691
153  68     142423.736
153  69     142429.733
153  71     142444.339
154  59     143362.088
154  60     143353.867
154  61     143350.680
154  62     143346.237
154  63     143346.455
154  64     143343.987
154  65     143347.038
154  66     143346.302
154  67     143351.558
154  68     143353.094
154  69     143360.774
154  70     143364.771
155  59     144296.272
155  60     144288.903
155  61     144283.746
155  62     144279.996
155  63     144277.869
155  64     144277.118
155  65     144277.438
155  66     144279.034
155  67     144281.652
155  68     144284.984
155  69     144290.069
155  70     144295.695
155  71     144303.155
156  60     145222.207
156  61     145218.017
156  62     145212.320
156  63     145211.098
156  64     145208.147
156  65     145210.092
156  66     145209.155
156  67     145213.706
156  68     145214.475
156  69     145221.355
156  70     145224.426
156  71     145233.495
156  72     145238.880
157  60     146157.713
157  61     146151.377
157  62     146146.497
157  63     146143.216
157  64     146141.352
157  65     146140.913
157  66     146141.753
157  67     146143.846
157  68     146146.767
157  69     146150.974
157  70     146155.764
157  71     146162.248
157  73     146178.101
158  61     147086.079
158  62     147079.418
158  63     147076.914
158  64     147072.980
158  65     147073.700
158  66     147072.265
158  67     147075.986
158  68     147076.371
158  69     147082.474
158  70     147084.669
158  71     147092.970
158  72     147097.583
159  61     148020.108
159  62     148013.955
159  63     148009.620
159  64     148006.602
159  65     148005.132
159  66     148004.999
159  67     148006.338
159  68     148008.608
159  69     148012.101
159  70     148016.335
159  71     148021.968
159  72     148028.327
159  73     148036.244
160  62     148947.422
160  63     148943.677
160  64     148938.716
160  65     148938.323
160  66     148935.987
160  67     148938.779
160  68     148938.599
160  69     148943.863
160  70     148945.505
160  71     148952.901
160  72     148956.735
160  73     148966.353
160  74     148972.354
161  62     149882.479
161  63     149876.860
161  64     149872.646
161  65     149870.191
161  66     149869.098
161  67     149869.458
161  68     149870.956
161  69     149873.761
161  70     149877.323
161  71     149882.102
161  72     149887.853
161  73     149894.892
161  75     149911.838
162  63     150811.442
162  64     150805.366
162  65     150803.471
162  66     150800.467
162  67     150802.108
162  68     150801.317
162  69     150805.676
162  70     150806.830
162  71     150813.327
162  72     150816.493
162  73     150825.385
162  74     150830.670
163  63     151745.155
163  64     151739.826
163  65     151736.045
163  66     151733.761
163  67     151733.265
163  68     151733.978
163  69     151735.919
163  70     151738.851
163  71     151742.861
163  72     151747.892
163  73     151754.125
163  74     151761.255
163  75     151769.665
164  65     152670.057
164  66     152665.668
164  67     152666.156
164  68     152664.697
164  69     152668.238
164  70     152668.627
164  71     152674.505
164  72     152676.831
164  73     152684.870
164  74     152689.421
164  75     152699.688
164  76     152706.243
165  66     153599.518
165  67     153597.733
165  68     153597.612
165  69     153598.706
165  70     153600.843
165  71     153604.199
165  72     153608.509
165  73     153613.799
165  74     153620.290
165  75     153627.995
166  65     154537.239
166  66     154532.040
166  67     154531.055
166  68     154528.702
166  69     154531.242
166  70     154531.037
166  71     154536.114
166  72     154537.779
166  73     154545.044
166  74     154548.757
166  75     154558.256
166  76     154564.222
167  66     155466.188
167  67     155463.340
167  68     155461.831
167  69     155462.080
167  70     155463.536
167  71     155466.128
167  72     155469.664
167  73     155474.284
167  74     155480.041
167  76     155494.645
167  77     155503.580
168  66     156399.053
168  67     156397.053
168  68     156393.625
168  69     156394.805
168  70     156394.039
168  71     156398.055
168  72     156399.266
168  73     156405.736
168  74     156408.740
168  75     156417.342
168  76     156422.646
168  77     156433.480
168  78     156440.644
169  66     157333.510
169  67     157329.811
169  68     157327.187
169  69     157326.337
169  70     157326.737
169  71     157328.533
169  72     157331.404
169  73     157335.333
169  74     157340.210
169  75     157346.222
169  76     157353.413
169  77     157361.546
170  67     158263.864
170  68     158259.496
170  69     158259.311
170  70     158257.845
170  71     158260.805
170  72     158261.361
170  73     158266.980
170  74     158269.331
170  75     158277.212
170  76     158281.703
170  78     158298.340
171  67     159197.078
171  68     159193.379
171  69     159191.390
171  70     159190.796
171  71     159191.777
171  72     159193.677
171  73     159196.892
171  74     159201.029
171  75     159206.369
171  76     159212.822
171  77     159220.216
171  78     159228.664
171  79     159238.076
172  68     160126.109
172  69     160124.720
172  70     160122.342
172  71     160124.364
172  72     160124.200
172  73     160128.776
172  74     160130.512
172  75     160137.577
172  76     160141.374
172  77     160150.743
172  78     160156.521
172  79     160167.815
172  80     160175.580
173  69     161057.333
173  70     161055.540
173  71     161055.713
173  72     161056.685
173  73     161059.204
173  74     161062.376
173  75     161067.054
173  76     161072.674
173  77     161079.348
173  78     161087.179
173  79     161095.794
174  69     161991.218
174  70     161987.641
174  71     161988.518
174  72     161987.746
174  73     161991.353
174  74     161992.371
174  75     161998.429
174  76     162001.611
174  77     162010.247
174  78     162015.298
174  80     162032.986
175  69     162924.266
175  70     162921.384
175  71     162920.416
175  72     162920.603
175  73     162922.180
175  74     162924.459
175  75     162928.308
175  76     162932.995
175  77     162939.210
175  78     162946.396
175  79     162954.211
175  80     162963.148
176  69     163858.700
176  70     163854.082
176  71     163853.694
176  72     163852.003
176  73     163854.717
176  74     163854.944
176  75     163860.027
176  76     163862.496
176  77     163870.221
176  78     163874.670
176  79     163884.588
176  80     163890.830
176  81     163902.702
177  70     164788.081
177  71     164786.186
177  72     164785.193
177  73     164785.862
177  74     164787.378
177  75     164790.315
177  76     164794.132
177  77     164799.546
177  78     164805.728
177  79     164813.058
177  80     164821.326
177  81     164830.274
178  70     165720.866
178  71     165719.726
178  72     165717.132
178  74     165718.167
178  75     165722.425
178  76     165724.038
178  77     165730.835
178  78     165734.595
178  79     165743.794
178  80     165749.287
178  82     165768.190
179  71     166652.499
179  72     166650.598
179  73     166650.207
179  74     166650.773
179  75     166652.988
179  76     166656.057
179  77     166660.500
179  78     166665.818
179  79     166672.603
179  80     166680.169
179  81     166688.335
179  82     166698.160
180  71     167586.376
180  72     167582.776
180  73     167583.126
180  74     167581.926
180  75     167585.229
180  76     167586.213
180  77     167592.098
180  78     167595.144
180  79     167603.460
180  80     167608.341
180  81     167618.711
180  82     167625.662
181  71     168519.749
181  72     168516.647
181  73     168515.115
181  74     168514.823
181  75     168516.043
181  76     168518.515
181  77     168522.106
181  78     168526.693
181  79     168532.709
181  80     168539.424
181  81     168546.793
181  82     168555.980
182  72     169449.494
182  73     169448.617
182  74     169446.305
182  75     169448.609
182  76     169448.950
182  77     169454.012
182  78     169456.400
182  79     169463.773
182  80     169468.003
182  81     169477.758
182  82     169483.767
183  71     170387.819
183  72     170383.755
183  73     170381.248
183  74     170379.679
183  75     170379.739
183  76     170381.389
183  77     170384.354
183  78     170388.290
183  79     170393.376
183  80     170399.269
183  81     170405.992
183  82     170414.511
184  72     171317.032
184  73     171315.196
184  74     171311.833
184  75     171312.823
184  76     171312.295
184  77     171316.441
184  78     171318.222
184  79     171324.743
184  80     171328.219
184  81     171337.190
184  82     171342.528
184  83     171354.150
185  72     172251.706
185  73     172248.135
185  74     172245.645
185  75     172244.718
185  76     172245.235
185  77     172247.210
185  78     172250.363
185  79     172254.698
185  80     172259.878
185  81     172265.810
185  82     172273.533
186  72     173185.096
186  73     173182.416
186  74     173178.018
186  75     173178.104
186  76     173176.535
186  77     173179.868
186  78     173180.680
186  79     173186.335
186  80     173189.017
186  81     173197.175
186  82     173201.886
186  83     173212.929
186  84     173219.683
187  73     174115.622
187  74     174112.117
187  75     174110.309
187  76     174109.810
187  77     174110.985
187  78     174113.354
187  79     174116.516
187  80     174120.932
187  81     174126.111
187  82     174133.075
187  83     174141.186
187  84     174149.905
188  73     175050.400
188  74     175044.847
188  75     175044.002
188  76     175041.386
188  77     175043.683
188  78     175043.712
188  79     175048.667
188  80     175050.342
188  81     175057.714
188  82     175061.741
188  83     175071.868
188  84     175078.026
189  74     175979.392
189  75     175976.534
189  76     175975.031
189  77     175975.073
189  78     175976.558
189  79     175978.951
189  80     175982.412
189  81     175986.928
189  82     175993.206
189  83     176000.493
189  84     176008.642
190  74     176912.121
190  75     176910.372
190  76     176906.804
190  77     176908.263
190  78     176907.215
190  79     176911.193
190  80     176912.162
190  81     176918.666
190  82     176922.128
190  83     176931.452
190  84     176936.995
191  74     177846.821
191  75     177843.151
191  76     177840.611
191  77     177839.802
191  78     177840.317
191  79     177841.723
191  80     177844.434
191  81     177848.249
191  82     177853.808
191  83     177860.306
191  84     177867.984
191  85     177876.424
192  75     178777.407
192  76     178772.618
192  77     178773.169
192  78     178771.221
192  79     178774.243
192  80     178774.509
192  81     178780.154
192  82     178782.977
192  83     178791.505
192  84     178796.476
192  85     178806.980
193  75     179710.258
193  76     179706.600
193  77     179704.962
193  78     179704.524
193  79     179705.104
193  80     179706.952
193  81     179710.043
193  82     179714.832
193  83     179720.649
193  84     179727.715
193  85     179735.481
193  86     179744.099
194  76     180639.053
194  77     180638.461
194  78     180635.738
194  79     180637.791
194  80     180637.325
194  81     180642.077
194  82     180644.313
194  83     180651.999
194  84     180656.530
194  85     180666.322
194  86     180672.274
195  76     181573.471
195  77     181570.795
195  78     181569.198
195  79     181568.930
195  80     181569.989
195  81     181572.353
195  82     181576.307
195  83     181581.496
195  84     181587.973
195  85     181595.066
195  86     181603.094
196  76     182506.199
196  77     182504.545
196  78     182500.841
196  79     182501.852
196  80     182500.671
196  81     182504.506
196  82     182506.161
196  83     182513.007
196  84     182517.050
196  85     182526.116
196  86     182531.509
197  77     183437.211
197  78     183434.560
197  79     183433.345
197  80     183433.451
197  81     183435.155
197  82     183438.258
197  83     183442.823
197  84     183448.659
197  85     183455.169
197  86     183462.543
197  87     183470.795
198  78     184366.570
198  79     184366.399
198  80     184364.531
198  81     184367.462
198  82     184368.430
198  83     184374.635
198  84     184378.038
198  85     184386.304
198  86     184391.296
198  87     184401.609
199  77     185304.065
199  78     185300.579
199  79     185298.380
199  80     185297.433
199  81     185298.426
199  82     185300.760
199  83     185304.701
199  84     185309.797
199  85     185315.689
199  86     185322.521
199  87     185330.300
200  78     186232.863
200  79     186231.727
200  80     186228.970
200  81     186230.932
200  82     186231.234
200  83     186236.621
200  84     186239.558
200  85     186247.019
200  86     186251.510
200  87     186261.155
201  78     187167.216
201  79     187164.061
201  80     187162.305
201  81     187162.292
201  82     187163.709
201  83     187167.070
201  84     187171.472
201  85     187176.711
201  86     187182.936
201  87     187190.106
201  88     187197.962
202  78     188099.758
202  79     188097.603
202  80     188094.116
202  81     188094.987
202  82     188094.533
202  83     188099.239
202  84     188101.546
202  85     188108.404
202  86     188112.228
202  87     188121.107
202  88     188126.594
203  79     189030.306
203  80     189027.686
203  81     189026.700
203  82     189027.181
203  83     189029.950
203  84     189033.671
203  85     189038.327
203  86     189043.843
203  87     189050.382
203  88     189057.675
204  80     189959.759
204  81     189959.609
204  82     189958.352
204  83     189962.323
204  84     189964.134
204  85     189970.108
204  86     189973.521
204  87     189981.607
204  88     189986.565
205  80     190893.656
205  81     190891.629
205  82     190891.186
205  83     190893.398
205  84     190896.448
205  85     190900.505
205  86     190905.275
205  87     190911.184
205  88     190917.841
205  89     190925.618
206  80     191826.492
206  81     191824.690
206  82     191822.665
206  83     191825.929
206  84     191827.275
206  85     191832.542
206  86     191835.346
206  87     191842.745
206  88     191847.062
206  89     191856.484
207  80     192762.444
207  81     192757.403
207  82     192755.492
207  83     192757.396
207  84     192759.812
207  85     192763.238
207  86     192767.339
207  87     192772.637
207  88     192778.535
207  89     192785.645
208  80     193697.161
208  81     193693.182
208  82     193687.690
208  83     193690.075
208  84     193690.982
208  85     193695.490
208  86     193697.812
208  87     193704.310
208  88     193708.212
208  89     193716.746
208  90     193722.186
209  81     194627.781
209  82     194623.318
209  83     194622.180
209  84     194623.580
209  85     194626.571
209  86     194630.020
209  87     194634.700
209  88     194639.837
209  89     194646.331
210  81     195563.673
210  82     195557.698
210  83     195557.141
210  84     195555.487
210  85     195558.976
210  86     195560.851
210  87     195566.631
210  88     195569.915
210  89     195577.771
210  90     195582.550
211  81     196498.336
211  82     196493.428
211  83     196491.568
211  84     196490.502
211  85     196490.795
211  86     196493.194
211  87     196497.318
211  88     196501.799
211  89     196507.678
211  90     196513.895
212  82     197427.866
212  83     197426.803
212  84     197424.059
212  85     197425.308
212  86     197424.784
212  87     197429.436
212  88     197432.262
212  89     197439.247
212  90     197443.590
212  91     197452.582
213  81     198369.186
213  82     198363.705
213  83     198361.184
213  84     198359.269
213  85     198358.850
213  86     198359.242
213  87     198360.893
213  88     198364.300
213  89     198369.618
213  90     198375.093
213  91     198382.146
214  82     199298.220
214  83     199296.709
214  84     199292.947
214  85     199293.544
214  86     199292.112
214  87     199294.981
214  88     199295.542
214  89     199301.402
214  90     199305.162
214  91     199313.462
215  82     200234.239
215  83     200231.033
215  84     200228.369
215  85     200227.162
215  86     200226.757
215  87     200227.752
215  88     200229.477
215  89     200232.482
215  90     200236.883
215  91     200243.335
215  92     200249.904
216  83     201166.772
216  84     201162.187
216  85     201162.169
216  86     201159.673
216  87     201161.899
216  88     201161.728
216  89     201166.090
216  90     201167.754
216  91     201174.764
216  92     201179.542
217  83     202101.122
217  84     202097.782
217  85     202095.801
217  86     202094.573
217  87     202094.737
217  88     202095.821
217  89     202098.144
217  90     202101.155
217  91     202105.528
218  83     203037.102
218  84     203031.750
218  85     203030.999
218  86     203027.626
218  87     203028.976
218  88     203028.076
218  89     203031.778
218  90     203032.810
218  91     203038.637
218  92     203041.358
219  84     203967.569
219  85     203964.791
219  86     203962.732
219  87     203962.028
219  88     203962.314
219  89     203963.998
219  90     203966.409
219  91     203969.988
219  92     203974.244
219  93     203979.925
220  84     204901.645
220  85     204900.264
220  86     204896.009
220  87     204896.387
220  88     204894.684
220  89     204897.666
220  90     204898.101
221  84     205837.649
221  85     205834.166
221  86     205831.362
221  87     205829.676
221  88     205828.871
221  89     205829.940
221  90     205831.866
221  91     205834.812
221  92     205838.466
222  84     206771.856
222  85     206769.830
222  86     206764.757
222  87     206764.271
222  88     206761.722
222  89     206763.532
222  90     206763.623
222  92     206769.713
223  85     207703.799
223  86     207700.269
223  87     207697.769
223  88     207696.129
223  89     207696.231
223  90     207697.300
223  91     207699.745
223  92     207702.771
224  85     208639.576
224  86     208633.818
224  87     208632.630
224  88     208629.216
224  89     208630.133
224  90     208629.402
224  91     208632.780
224  92     208634.150
225  86     209569.401
225  87     209566.196
225  88     209563.877
225  89     209563.030
225  90     209563.212
225  91     209564.753
225  92     209567.302
225  93     209571.021
226  86     210503.108
226  87     210501.390
226  88     210497.046
226  89     210497.196
226  90     210495.594
226  91     210497.939
226  92     210498.745
227  86     211438.741
227  87     211435.046
227  88     211432.050
227  89     211430.231
227  90     211429.695
227  91     211430.231
227  92     211431.956
227  93     211434.983
228  86     212372.593
228  87     212370.242
228  88     212365.306
228  89     212364.770
228  90     212362.155
228  91     212363.818
228  92     212363.627
228  93     212367.511
228  94     212369.514
229  86     213308.206
229  87     213304.020
229  88     213300.422
229  89     213298.059
229  90     213296.464
229  91     213296.285
229  92     213297.109
229  93     213299.189
229  94     213302.316
229  95     213306.582
230  87     214239.332
230  88     214233.871
230  89     214232.702
230  90     214229.235
230  91     214230.056
230  92     214229.008
230  93     214232.140
230  94     214233.349
231  87     215173.420
231  88     215169.065
231  89     215166.120
231  90     215163.683
231  91     215162.801
231  92     215162.693
231  93     215164.022
231  94     215166.217
232  87     216108.907
232  88     216102.839
232  89     216101.006
232  90     216096.808
232  91     216096.817
232  92     216094.990
232  94     216097.766
233  87     217043.248
233  88     217038.171
233  89     217034.654
233  90     217031.587
233  91     217029.854
233  92     217028.794
233  93     217029.334
233  94     217030.948
233  96     217037.214
234  88     217972.261
234  89     217969.681
234  90     217964.962
234  91     217964.198
234  92     217961.514
234  93     217962.835
234  94     217962.741
234  96     217968.139
235  89     218903.691
235  90     218899.861
235  91     218897.642
235  92     218895.782
235  93     218895.417
235  94     218896.067
235  95     218898.022
236  89     219839.049
236  90     219833.592
236  91     219832.181
236  92     219828.802
236  93     219829.246
236  94     219828.281
236  96     219832.257
237  90     220768.786
237  91     220765.869
237  92     220763.242
237  93     220762.234
237  94     220761.965
237  96     220765.144
237  98     220772.861
238  91     221700.729
238  92     221696.653
238  93     221696.311
238  94     221694.530
238  95     221696.300
238  96     221696.836
239  92     222631.412
239  93     222629.661
239  94     222628.450
239  95     222628.763
239  96     222630.032
240  92     223565.049
240  93     223564.161
240  94     223561.481
240  95     223562.377
240  96     223562.103
240  98     223567.395
241  93     224497.599
241  94     224495.805
241  95     224495.295
241  96     224495.575
242  93     225432.249
242  94     225429.060
242  95     225429.323
242  96     225428.171
242  98     225431.779
243  94     226363.592
243  95     226362.524
243  96     226362.043
243  97     226363.063
244  94     227297.138
244  95     227296.722
244  96     227294.807
244  97     227296.581
244  98     227296.858
245  94     228232.004
245  95     228230.238
245  96     228228.854
245  97     228229.175
245  98     228230.260
246  94     229165.715
246  96     229161.960
246  97     229162.823
246  98     229162.459
246 100     229167.584
247  96     230096.371
247  97     230095.839
247  98     230095.966
247  99     230097.954
248  96     231029.724
248  98     231028.595
248 100     231032.282
249  96     231964.576
249  97     231963.184
249  98     231962.574
249 100     231965.397
250  96     232898.309
250  97     232897.782
250  98     232895.515
250 100     232897.444
251  96     233833.462
251  97     233831.554
251  98     233829.974
251  99     233829.864
251 100     233830.820
251 101     233833.347
252  98     234763.368
252  99     234764.141
252 100     234763.176
252 102     234768.260
253  98     235698.129
253  99     235697.351
253 100     235697.200
253 102     235701.242
254  98     236631.663
254  99     236631.825
254 100     236630.251
254 102     236633.100
255  99     237565.418
255 100     237564.642
255 101     237565.200
255 102     237566.678
255 103     237569.334
256 100     238497.823
256 102     238499.187
256 103     238502.627
256 104     238504.618
257 100     239432.421
257 101     239432.338
257 102     239433.107
257 104     239437.757
258 101     240366.526
258 104     240369.725
259 102     241299.926
259 105     241306.386
260 106     242241.953
261 104     243169.185
261 106     243174.904
262 106     244106.759
264 108     245979.980
265 108     246912.811
266 108     247844.541
269 110     250651.759
270 110     251583.096
