  A   Z Nuc Mass (MeV)
 48  20      44657.291
 48  21      44656.503
 48  22      44652.005
 48  23      44655.512
 48  24      44656.659
 48  25      44669.677
 49  19      45603.907
 49  20      45591.710
 49  21      45585.939
 49  22      45583.428
 49  23      45583.522
 49  24      45585.642
 49  25      45592.847
 49  26      45605.209
 50  19      46539.284
 50  20      46524.914
 50  21      46519.447
 50  22      46512.054
 50  23      46513.754
 50  24      46512.207
 50  25      46519.334
 50  26      46526.977
 51  19      47473.990
 51  20      47459.665
 51  21      47452.260
 51  22      47445.247
 51  23      47442.268
 51  24      47442.512
 51  25      47445.212
 51  26      47452.745
 51  27      47465.098
 52  19      48410.863
 52  20      48393.225
 52  21      48386.540
 52  22      48377.005
 52  23      48374.522
 52  24      48370.039
 52  25      48374.242
 52  26      48376.111
 52  27      48389.573
 53  19      49347.199
 53  20      49329.598
 53  21      49319.570
 53  22      49311.137
 53  23      49305.609
 53  24      49301.665
 53  25      49301.754
 53  26      49304.988
 53  27      49312.769
 53  28      49325.290
 54  20      50265.319
 54  21      50256.080
 54  22      50243.841
 54  23      50239.061
 54  24      50231.511
 54  25      50232.380
 54  26      50231.176
 54  27      50238.912
 54  28      50247.136
 55  21      51191.306
 55  22      51179.289
 55  23      51171.304
 55  24      51164.830
 55  25      51161.720
 55  26      51161.443
 55  27      51164.387
 55  28      51172.573
 55  29      51185.766
 56  21      52128.107
 56  22      52113.131
 56  23      52105.787
 56  24      52096.149
 56  25      52094.015
 56  26      52089.811
 56  27      52093.870
 56  28      52095.495
 56  29      52110.253
 57  21      53063.457
 57  22      53050.029
 57  23      53039.023
 57  24      53030.404
 57  25      53024.934
 57  26      53021.730
 57  27      53022.059
 57  28      53024.813
 57  29      53033.081
 58  23      53974.529
 58  24      53962.431
 58  25      53958.087
 58  26      53951.251
 58  27      53953.052
 58  28      53952.162
 58  29      53960.216
 58  30      53969.078
 59  23      54908.593
 59  24      54897.831
 59  25      54889.883
 59  26      54884.236
 59  27      54882.163
 59  28      54882.729
 59  29      54887.020
 59  30      54895.655
 60  23      55844.677
 60  24      55830.741
 60  25      55823.935
 60  26      55814.982
 60  27      55814.237
 60  28      55810.906
 60  29      55816.527
 60  30      55820.190
 61  23      56778.906
 61  24      56766.429
 61  25      56756.654
 61  26      56748.968
 61  27      56744.483
 61  28      56742.652
 61  29      56744.382
 61  30      56749.510
 61  31      56758.217
 62  24      57699.504
 62  25      57691.367
 62  26      57680.505
 62  27      57677.451
 62  28      57671.621
 62  29      57675.073
 62  30      57676.185
 62  31      57684.859
 63  24      58635.885
 63  25      58624.498
 63  26      58615.241
 63  27      58608.518
 63  28      58604.349
 63  29      58603.775
 63  30      58606.634
 63  31      58611.793
 63  32      58620.912
 64  24      59569.907
 64  25      59559.890
 64  26      59547.401
 64  27      59542.071
 64  28      59534.257
 64  29      59535.424
 64  30      59534.337
 64  31      59541.001
 64  32      59545.012
 65  25      60493.406
 65  26      60482.647
 65  27      60474.172
 65  28      60467.724
 65  29      60465.079
 65  30      60465.923
 65  31      60468.671
 65  32      60474.343
 65  33      60483.378
 66  25      61429.117
 66  26      61415.291
 66  27      61408.443
 66  28      61398.338
 66  29      61397.578
 66  30      61394.430
 66  31      61399.099
 66  32      61400.709
 66  33      61409.784
 67  26      62351.243
 67  27      62341.024
 67  28      62332.095
 67  29      62328.011
 67  30      62326.943
 67  31      62327.437
 67  32      62331.151
 67  33      62336.716
 67  34      62346.216
 68  26      63284.860
 68  27      63275.909
 68  28      63263.868
 68  29      63261.258
 68  30      63256.311
 68  31      63258.725
 68  32      63258.325
 68  33      63265.903
 68  34      63270.101
 69  27      64209.055
 69  28      64198.848
 69  29      64192.583
 69  30      64189.394
 69  31      64187.977
 69  32      64189.697
 69  33      64193.179
 69  34      64199.350
 69  35      64209.019
 70  28      65131.106
 70  29      65126.837
 70  30      65119.741
 70  31      65119.889
 70  32      65117.730
 70  33      65123.444
 70  34      65125.349
 70  35      65135.347
 71  27      66077.952
 71  28      66066.408
 71  29      66058.596
 71  30      66053.471
 71  31      66050.154
 71  32      66049.880
 71  33      66051.386
 71  34      66055.627
 71  35      66061.764
 71  36      66071.434
 72  28      66999.082
 72  29      66993.018
 72  30      66984.148
 72  31      66983.199
 72  32      66978.694
 72  33      66982.544
 72  34      66982.399
 72  35      66990.699
 72  36      66995.314
 73  28      67934.694
 73  29      67925.308
 73  30      67918.195
 73  31      67913.582
 73  32      67911.477
 73  33      67911.315
 73  34      67913.534
 73  35      67917.608
 73  36      67924.197
 74  29      68859.783
 74  30      68849.525
 74  31      68846.726
 74  32      68840.846
 74  33      68842.902
 74  34      68841.042
 74  35      68847.461
 74  36      68849.911
 74  37      68859.821
 75  29      69792.812
 75  30      69784.217
 75  31      69777.805
 75  32      69773.906
 75  33      69772.222
 75  34      69772.580
 75  35      69775.136
 75  36      69779.414
 75  37      69786.013
 75  38      69796.107
 76  29      70727.802
 76  30      70715.967
 76  31      70711.467
 76  32      70704.044
 76  33      70704.459
 76  34      70700.992
 76  35      70705.448
 76  36      70706.218
 76  37      70714.246
 76  38      70719.972
 77  30      71650.975
 77  31      71643.265
 77  32      71637.538
 77  33      71634.328
 77  34      71633.138
 77  35      71633.997
 77  36      71636.556
 77  37      71641.389
 77  38      71647.911
 78  29      72597.268
 78  30      72583.775
 78  31      72577.046
 78  32      72568.383
 78  33      72566.921
 78  34      72562.206
 78  35      72565.273
 78  36      72564.041
 78  37      72570.778
 78  38      72574.034
 79  30      73519.320
 79  31      73509.698
 79  32      73502.212
 79  33      73497.596
 79  34      73494.808
 79  35      73494.152
 79  36      73495.271
 79  37      73498.405
 79  38      73503.225
 79  39      73510.379
 80  30      74452.598
 80  31      74444.516
 80  32      74433.698
 80  33      74430.512
 80  34      74424.460
 80  35      74425.825
 80  36      74423.314
 80  37      74428.526
 80  38      74429.885
 80  39      74438.543
 81  30      75389.541
 81  31      75377.606
 81  32      75368.435
 81  33      75361.687
 81  34      75357.325
